category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Financials,djt-market-cap-less-than-1b-on-april-30,djt-market-cap-on-april-30,0xfb79c294c1c62f5cf2a47c3cd9e762b4d575470f1cd6b71573fdfb9470c38d65,$DJT market cap less than $1b on April 30?,No,closed,2024-04-16T16:53:24Z,2024-04-30T12:00:00Z,2024-04-30T23:16:56Z,72838.9
Financials,magic-eden-airdrop-by-june-30,airdrops-by-june-30,0x65c16ccf2f97f83a1d6ef75211a7fa19af6b0f623f1f5a0850581c1397f84b5d,Magic Eden airdrop by June 30?,No,closed,2024-04-10T20:19:38Z,2024-06-30T12:00:00Z,2024-07-01T09:03:40Z,26246.6
Financials,phantom-airdrop-by-june-30,airdrops-by-june-30,0x6696f625360f4a09eab085729bc0b4875a9dcfce249f0eae8d48b6ac7f68b158,Phantom airdrop by June 30?,No,closed,2024-04-10T20:19:02Z,2024-06-30T12:00:00Z,2024-07-01T07:54:50Z,43719.7
Financials,backpack-airdrop-by-june-30,airdrops-by-june-30,0x5e238cc31f29691a4df3f34020177da7d8c744ecfbf834871fc747c6634a74e7,Backpack airdrop by June 30?,No,closed,2024-04-10T20:18:33Z,2024-06-30T12:00:00Z,2024-07-01T07:54:38Z,26769
Financials,mantle-airdrop-by-june-30,airdrops-by-june-30,0xfa4d5b29d7544a58242acc6abf357fa1c81f80ba517b8a19b51bb012ea3458e7,Mantle airdrop by June 30?,No,closed,2024-04-10T20:18:06Z,2024-06-30T12:00:00Z,2024-07-01T09:08:48Z,17309.9
Financials,metamask-airdrop-by-june-30,airdrops-by-june-30,0x861e6b64f7eedd49a81ca91a365a1148fb370261724993c2110dfb224709c7c7,MetaMask airdrop by June 30?,No,closed,2024-04-10T20:17:42Z,2024-06-30T12:00:00Z,2024-07-01T06:25:48Z,113799
Financials,rysk-airdrop-by-june-30,airdrops-by-june-30,0xe0d66a0d95ac94bd265216d1e6fb3a8214611429816389f4b8e9441f69a78572,Rysk airdrop by June 30?,No,closed,2024-04-10T20:17:19Z,2024-06-30T12:00:00Z,2024-07-01T09:08:52Z,11262.8
Financials,partydao-airdrop-by-june-30,airdrops-by-june-30,0x681178849efee4355b1b3ce433922451adc9e3704dd098a023d51537d4bb9e5e,PartyDAO airdrop by June 30?,No,closed,2024-04-10T20:16:54Z,2024-06-30T12:00:00Z,2024-07-01T09:13:42Z,11016.9
Financials,zerion-airdrop-by-june-30,airdrops-by-june-30,0xa15fd18b2dc65bd1111d9f82e77827d484c6c1b814f0e6a6ca4802369e967102,Zerion airdrop by June 30?,No,closed,2024-04-10T20:16:23Z,2024-06-30T12:00:00Z,2024-07-01T07:29:26Z,14457.1
Financials,foundation-airdrop-by-june-30,airdrops-by-june-30,0xa4638c9f6ce85c1b58b8dc67129fc00cce76d619d958d9e3bb49e880b1ec7083,Foundation airdrop by June 30?,No,closed,2024-04-10T20:16:03Z,2024-06-30T12:00:00Z,2024-07-01T08:09:18Z,6982.79
